datetime;ip;operation;ok;http_status;message
2026-09-02T18:43:40;10.67.1.24;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:40;10.67.1.29;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:41;10.67.1.27;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:41;10.67.1.30;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:41;10.67.1.33;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:41;10.67.1.31;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:41;10.94.1.3;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:42;10.76.171.12;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:42;10.86.171.13;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:42;10.68.50.5;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:42;10.66.171.3;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:42;10.65.71.11;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:42;10.95.171.4;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:43;10.100.61.9;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:43;10.100.61.10;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:44;10.77.171.25;prepare;YES;200;9.wav загружен, размер 240044
2026-09-02T18:43:44;10.88.1.16;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:44;10.68.50.6;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:44;10.94.1.5;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:44;10.94.1.4;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:45;10.81.171.2;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:45;10.81.171.3;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
